xlong,ylat,collision
-78.601295,40.354794,0.0
-88.99472,40.192791,0.0
-89.054733,40.20211,0.0
-89.118279,40.1973,0.0
-89.099342,40.175488,0.0
-89.079567,40.2048,0.0
-89.016983,40.169998,0.0
-89.02317,40.187801,0.0
-88.982819,40.192181,0.0
-89.055344,40.164181,0.0
-89.127792,40.21434,0.0
-89.069214,40.192074,0.0
-89.057129,40.193069,0.0
-89.014091,40.195629,0.0
-89.0522,40.169193,0.0
-89.001366,40.210648,0.0
-89.120354,40.185669,0.0
-89.132011,40.194611,0.0
-89.087822,40.208599,0.0
-89.096527,40.19482,0.0
-89.078682,40.187561,0.0
-89.021721,40.177349,0.0
-89.114571,40.2108,0.0
-89.069038,40.20945,0.0
-89.102592,40.197399,0.0
-88.996544,40.214691,0.0
-89.016991,40.188999,0.0
-89.064056,40.17667,0.0
-89.059639,40.162827,0.0
-89.026016,40.17004,0.0
-89.032791,40.18811,0.0
-88.981956,40.185459,0.0
-89.045479,40.174679,0.0
-89.074249,40.190155,0.0
-89.006187,40.185902,0.0
-89.107651,40.171913,0.0
-89.10762,40.214069,0.0
-89.00029,40.20208,0.0
-89.091759,40.20594,0.0
-89.1315,40.20179,0.0
-89.060204,40.199551,0.0
-89.072548,40.15546,0.0
-88.988403,40.185871,0.0
-89.007698,40.206757,0.0
-89.045807,40.199261,0.0
-89.116989,40.190441,0.0
-89.040749,40.19244,0.0
-89.00988,40.171749,0.0
-89.038551,40.20298,0.0
-89.12999,40.175209,0.0
-89.070839,40.176174,0.0
-118.373985,35.038593,0.0
-118.382385,35.043095,0.0
-118.361389,35.020676,0.0
-118.380585,35.044594,0.0
-118.364388,35.034294,0.0
-118.367584,35.028294,0.0
-118.358185,35.030697,0.0
-118.355385,35.023594,0.0
-118.37973,35.045631,0.0
-118.354187,35.034195,0.0
-118.358086,35.022095,0.0
-118.372086,35.032795,0.0
-118.34729,35.057693,0.0
-118.367027,35.029114,0.0
-118.370186,35.052494,0.0
-118.388885,35.052197,0.0
-118.396889,35.049496,0.0
-118.36869,35.027496,0.0
-118.387886,35.025394,0.0
-118.359589,35.045994,0.0
-118.391586,35.020596,0.0
-118.38121,35.03186,0.0
-118.389687,35.051296,0.0
-118.375191,35.049294,0.0
-118.361588,35.044796,0.0
-118.375786,35.048294,0.0
-118.348686,35.025295,0.0
-118.369286,35.035694,0.0
-118.386787,35.027794,0.0
-118.38739,35.026894,0.0
-118.365189,35.038197,0.0
-118.371284,35.051395,0.0
-118.363686,35.043694,0.0
-118.368286,35.036194,0.0
-118.384361,35.027653,0.0
-118.381485,35.043694,0.0
-118.378685,35.046494,0.0
-118.347191,35.027393,0.0
-118.356987,35.022694,0.0
-118.355339,35.033531,0.0
-118.357689,35.032295,0.0
-118.367287,35.036995,0.0
-118.379791,35.051094,0.0
-118.356491,35.047894,0.0
-118.37619,35.047295,0.0
-118.391891,35.019196,0.0
-118.39209,35.017696,0.0
-118.374687,35.050495,0.0
-118.381882,35.030018,0.0
-118.362022,35.035137,0.0
-118.351585,35.055496,0.0
-118.393288,35.050396,0.0
-118.39109,35.023296,0.0
-118.366287,35.037796,0.0
-118.361191,35.029594,0.0
-118.364189,35.028095,0.0
-118.387291,35.053795,0.0
-118.370285,35.035095,0.0
-118.388985,35.024197,0.0
-118.360291,35.035496,0.0
-118.357185,35.038094,0.0
-118.372185,35.027096,0.0
-118.388191,35.053097,0.0
-118.373688,35.051094,0.0
-118.348488,35.057297,0.0
-118.391586,35.022095,0.0
-118.375389,35.025696,0.0
-118.376884,35.026096,0.0
-118.374191,35.026196,0.0
-118.390884,35.050995,0.0
-118.36039,35.030296,0.0
-118.360588,35.045395,0.0
-118.39566,35.049759,0.0
-118.378189,35.025795,0.0
-118.362442,35.044006,0.0
-118.382599,35.050255,0.0
-118.359085,35.021496,0.0
-118.356888,35.032993,0.0
-118.377388,35.046894,0.0
-118.357391,35.047195,0.0
-118.39399,35.054794,0.0
-118.347389,35.026096,0.0
-118.369286,35.053295,0.0
-118.3797,35.033554,0.0
-118.373291,35.026695,0.0
-118.394485,35.050095,0.0
-118.391991,35.050694,0.0
-118.375305,35.038174,0.0
-118.370987,35.027596,0.0
-118.380486,35.032696,0.0
-118.35849,35.046696,0.0
-118.358185,35.037193,0.0
-118.382889,35.028595,0.0
